train_loss,valid_loss,valid_acc
4.0039,2.9073,0.3583
1.8508,1.782,0.55
1.0993,1.4695,0.6667
0.7236,1.4478,0.6833
0.4574,0.8446,0.8417
0.3359,0.9357,0.7917
0.2464,0.802,0.875
0.198,0.7972,0.85
0.169,0.683,0.8333
0.131,0.6288,0.875
0.128,0.7486,0.8667
0.1226,0.6405,0.925
0.1054,0.5511,0.8917
0.0981,0.6007,0.9333
0.0869,0.5233,0.9167
0.0742,0.5886,0.875
0.0667,0.4791,0.9167
0.069,0.4921,0.9
0.0792,0.5367,0.9
0.0804,0.5218,0.9167
0.083,0.6177,0.9083
0.0705,0.5609,0.925
0.0501,0.4331,0.9333
0.0685,0.6352,0.9
0.0711,0.5057,0.9333
0.0675,0.6455,0.9083
0.0601,0.4124,0.9583
0.0633,0.4611,0.9583
0.0686,0.4694,0.9083
0.0655,0.447,0.9333
